"pid","week","group","subgroup","gender","intervention","last_intervention","bilateral_communication_count","quiz_count","booklet_count","arena_count","chat_count","forum_count","playground_count","bilateral_communication_active_days","quiz_active_days","booklet_active_days","arena_active_days","chat_active_days","forum_active_days","playground_active_days","active_days","event_count","bilat_count_bool","quiz_count_bool","booklet_count_bool","arena_count_bool","chat_count_bool","forum_count_bool","playground_count_bool","event_count_bool"
209,14,"B","m","f","None","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,3,"C","m","m","impersonal/specific","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
426,10,"A","m","m","impersonal/specific","impersonal/specific",0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
322,5,"C","f","m","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
373,12,"A","f","f","None","impersonal/specific",0,11,0,0,0,0,3,0,1,0,0,0,0,1,1,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
405,2,"B","f","f","personal/unspecific","personal/unspecific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
261,3,"C","f","f","impersonal/specific","impersonal/specific",0,0,1,0,0,0,2,0,0,1,0,0,0,2,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
352,0,"B","f","m","None","None",0,2,1,0,0,1,6,0,1,1,0,0,1,2,3,10,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
384,0,"B","m","m","None","None",0,2,1,0,0,0,1,0,2,1,0,0,0,1,2,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
334,10,"C","f","m","None","personal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
281,1,"B","m","m","None","None",0,6,2,33,0,0,0,0,1,1,1,0,0,0,2,41,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
70,12,"B","f","f","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
223,0,"B","m","m","None","None",0,0,1,10,0,0,11,0,0,1,1,0,0,2,2,22,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
